date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:59	668172/668172	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/2018/04/office-2003-full-huong-dan-cai-at.html	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/2018/04/office-2003-full-huong-dan-cai-at.html	(from https://phuongtanit.blogspot.com/)
18:22:00	688756/688756	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Tool%20Windows	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Tool%20Windows.html	(from https://phuongtanit.blogspot.com/)
18:22:01	682095/682095	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/tool%20usb	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/tool%20usb.html	(from https://phuongtanit.blogspot.com/)
18:22:02	680621/680621	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Rubik	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Rubik.html	(from https://phuongtanit.blogspot.com/)
18:22:03	662293/662293	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/H%c3%acnh	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/H%c3%acnh.html	(from https://phuongtanit.blogspot.com/)
18:22:03	680261/680261	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Phim	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Phim.html	(from https://phuongtanit.blogspot.com/)
18:22:04	662500/662500	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/games%20offline	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/games%20offline.html	(from https://phuongtanit.blogspot.com/)
18:22:05	84536/84536	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Mar%202020%2011:22:05%20GMT	https://www.facebook.com/TANTHUTHUATTINHOC	C:/My%20Web%20Sites/phuongtanitblogspot/www.facebook.com/TANTHUTHUATTINHOC.43.delayed	(from https://phuongtanit.blogspot.com/)
18:22:05	686671/686671	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/search/label/Nh%e1%ba%a1c	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/search/label/Nh%e1%ba%a1c.html	(from https://phuongtanit.blogspot.com/)
18:22:06	0/0	---M--	302	error ('Found')	application/binary	date:Mon,%2009%20Mar%202020%2011:22:06%20GMT	https://plus.google.com/106107138044331690953	C:/My%20Web%20Sites/phuongtanitblogspot/plus.google.com/106107138044331690953.44.delayed	(from https://phuongtanit.blogspot.com/)
18:22:07	74119/74119	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:22:06%20GMT	https://accounts.google.com/ServiceLogin?passive=1209600&osid=1&continue=https://plus.google.com/106107138044331690953&followup=https://plus.google.com/106107138044331690953	C:/My%20Web%20Sites/phuongtanitblogspot/accounts.google.com/ServiceLoginee48.html	(from https://phuongtanit.blogspot.com/)
18:22:08	112214/112214	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:22:08%20GMT	https://www.youtube.com/Gi%e1%ba%a3iTr%c3%adTinH%e1%bb%8dcIT	C:/My%20Web%20Sites/phuongtanitblogspot/www.youtube.com/Gi%e1%ba%a3iTr%c3%adTinH%e1%bb%8dcIT.html	(from https://phuongtanit.blogspot.com/)
18:22:09	250816/250816	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2010:33:01%20GMT	https://tanhongit.com/	C:/My%20Web%20Sites/phuongtanitblogspot/tanhongit.com/index.html	(from https://phuongtanit.blogspot.com/)
18:22:09	184703/184703	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:22:09%20GMT	https://www.facebook.com/tanhongit	C:/My%20Web%20Sites/phuongtanitblogspot/www.facebook.com/tanhongit.html	(from https://phuongtanit.blogspot.com/)
